EPOCH 70: LOSS 0.2223, ACCURACY 0.9152, ANOMALIES 0
EPOCH 71: LOSS 0.2206, ACCURACY 0.9161, ANOMALIES 0
EPOCH 72: LOSS 0.2189, ACCURACY 0.9170, ANOMALIES 0
EPOCH 73: LOSS 0.2173, ACCURACY 0.9178, ANOMALIES 0
EPOCH 74: LOSS 0.2158, ACCURACY 0.9186, ANOMALIES 0
EPOCH 75: LOSS 0.2143, ACCURACY 0.9194, ANOMALIES 0
EPOCH 76: LOSS 0.2128, ACCURACY 0.9202, ANOMALIES 0
EPOCH 77: LOSS 0.2114, ACCURACY 0.9209, ANOMALIES 0
EPOCH 78: LOSS 0.2100, ACCURACY 0.9217, ANOMALIES 0
EPOCH 79: LOSS 0.2087, ACCURACY 0.9224, ANOMALIES 0
EPOCH 80: LOSS 0.2073, ACCURACY 0.9231, ANOMALIES 0
EPOCH 81: LOSS 0.2060, ACCURACY 0.9238, ANOMALIES 0
EPOCH 82: LOSS 0.2047, ACCURACY 0.9245, ANOMALIES 0
EPOCH 83: LOSS 0.2035, ACCURACY 0.9251, ANOMALIES 0
EPOCH 84: LOSS 0.2022, ACCURACY 0.9258, ANOMALIES 0
EPOCH 85: LOSS 0.2010, ACCURACY 0.9264, ANOMALIES 0
EPOCH 86: LOSS 0.1998, ACCURACY 0.9270, ANOMALIES 0
EPOCH 87: LOSS 0.1987, ACCURACY 0.9277, ANOMALIES 0
EPOCH 88: LOSS 0.1975, ACCURACY 0.9283, ANOMALIES 0
EPOCH 89: LOSS 0.1964, ACCURACY 0.9289, ANOMALIES 0
EPOCH 90: LOSS 0.1953, ACCURACY 0.9295, ANOMALIES 0
EPOCH 91: LOSS 0.1942, ACCURACY 0.9301, ANOMALIES 0
EPOCH 92: LOSS 0.1932, ACCURACY 0.9307, ANOMALIES 0
EPOCH 93: LOSS 0.1921, ACCURACY 0.9312, ANOMALIES 0
EPOCH 94: LOSS 0.1911, ACCURACY 0.9318, ANOMALIES 0
EPOCH 95: LOSS 0.1901, ACCURACY 0.9324, ANOMALIES 0
EPOCH 96: LOSS 0.1899, ACCURACY 0.9325, ANOMALIES 0
EPOCH 97: LOSS 0.1890, ACCURACY 0.9330, ANOMALIES 0
EPOCH 98: LOSS 0.1881, ACCURACY 0.9335, ANOMALIES 0
EPOCH 99: LOSS 0.1872, ACCURACY 0.9340, ANOMALIES 0
EPOCH 100: LOSS 0.1864, ACCURACY 0.9345, ANOMALIES 0
