EPOCH 70: LOSS 0.2230, ACCURACY 0.9149, ANOMALIES 0
EPOCH 71: LOSS 0.2213, ACCURACY 0.9158, ANOMALIES 0
EPOCH 72: LOSS 0.2196, ACCURACY 0.9167, ANOMALIES 0
EPOCH 73: LOSS 0.2180, ACCURACY 0.9175, ANOMALIES 0
EPOCH 74: LOSS 0.2165, ACCURACY 0.9183, ANOMALIES 0
EPOCH 75: LOSS 0.2150, ACCURACY 0.9191, ANOMALIES 0
EPOCH 76: LOSS 0.2135, ACCURACY 0.9199, ANOMALIES 0
EPOCH 77: LOSS 0.2121, ACCURACY 0.9206, ANOMALIES 0
EPOCH 78: LOSS 0.2107, ACCURACY 0.9214, ANOMALIES 0
EPOCH 79: LOSS 0.2094, ACCURACY 0.9221, ANOMALIES 0
EPOCH 80: LOSS 0.2080, ACCURACY 0.9228, ANOMALIES 0
EPOCH 81: LOSS 0.2067, ACCURACY 0.9235, ANOMALIES 0
EPOCH 82: LOSS 0.2054, ACCURACY 0.9242, ANOMALIES 0
EPOCH 83: LOSS 0.2042, ACCURACY 0.9248, ANOMALIES 0
EPOCH 84: LOSS 0.2029, ACCURACY 0.9255, ANOMALIES 0
EPOCH 85: LOSS 0.2017, ACCURACY 0.9261, ANOMALIES 0
EPOCH 86: LOSS 0.2005, ACCURACY 0.9267, ANOMALIES 0
EPOCH 87: LOSS 0.1994, ACCURACY 0.9274, ANOMALIES 0
EPOCH 88: LOSS 0.1982, ACCURACY 0.9280, ANOMALIES 0
EPOCH 89: LOSS 0.1971, ACCURACY 0.9286, ANOMALIES 0
EPOCH 90: LOSS 0.1960, ACCURACY 0.9292, ANOMALIES 0
EPOCH 91: LOSS 0.1949, ACCURACY 0.9298, ANOMALIES 0
EPOCH 92: LOSS 0.1938, ACCURACY 0.9304, ANOMALIES 0
EPOCH 93: LOSS 0.1928, ACCURACY 0.9310, ANOMALIES 0
EPOCH 94: LOSS 0.1917, ACCURACY 0.9315, ANOMALIES 0
EPOCH 95: LOSS 0.1907, ACCURACY 0.9321, ANOMALIES 0
EPOCH 96: LOSS 0.1902, ACCURACY 0.9324, ANOMALIES 0
EPOCH 97: LOSS 0.1893, ACCURACY 0.9329, ANOMALIES 0
EPOCH 98: LOSS 0.1884, ACCURACY 0.9334, ANOMALIES 0
EPOCH 99: LOSS 0.1875, ACCURACY 0.9339, ANOMALIES 0
EPOCH 100: LOSS 0.1867, ACCURACY 0.9344, ANOMALIES 0
