EPOCH 67: LOSS 0.2290, ACCURACY 0.9118, ANOMALIES 0
EPOCH 68: LOSS 0.2271, ACCURACY 0.9128, ANOMALIES 0
EPOCH 69: LOSS 0.2253, ACCURACY 0.9137, ANOMALIES 0
EPOCH 70: LOSS 0.2236, ACCURACY 0.9146, ANOMALIES 0
EPOCH 71: LOSS 0.2219, ACCURACY 0.9154, ANOMALIES 0
EPOCH 72: LOSS 0.2202, ACCURACY 0.9163, ANOMALIES 0
EPOCH 73: LOSS 0.2186, ACCURACY 0.9171, ANOMALIES 0
EPOCH 74: LOSS 0.2170, ACCURACY 0.9179, ANOMALIES 0
EPOCH 75: LOSS 0.2155, ACCURACY 0.9187, ANOMALIES 0
EPOCH 76: LOSS 0.2140, ACCURACY 0.9195, ANOMALIES 0
EPOCH 77: LOSS 0.2126, ACCURACY 0.9202, ANOMALIES 0
EPOCH 78: LOSS 0.2112, ACCURACY 0.9210, ANOMALIES 0
EPOCH 79: LOSS 0.2098, ACCURACY 0.9217, ANOMALIES 0
EPOCH 80: LOSS 0.2085, ACCURACY 0.9224, ANOMALIES 0
EPOCH 81: LOSS 0.2071, ACCURACY 0.9231, ANOMALIES 0
EPOCH 82: LOSS 0.2058, ACCURACY 0.9238, ANOMALIES 0
EPOCH 83: LOSS 0.2046, ACCURACY 0.9245, ANOMALIES 0
EPOCH 84: LOSS 0.2033, ACCURACY 0.9251, ANOMALIES 0
EPOCH 85: LOSS 0.2021, ACCURACY 0.9258, ANOMALIES 0
EPOCH 86: LOSS 0.2009, ACCURACY 0.9264, ANOMALIES 0
EPOCH 87: LOSS 0.1997, ACCURACY 0.9271, ANOMALIES 0
EPOCH 88: LOSS 0.1985, ACCURACY 0.9277, ANOMALIES 0
EPOCH 89: LOSS 0.1974, ACCURACY 0.9283, ANOMALIES 0
EPOCH 90: LOSS 0.1963, ACCURACY 0.9289, ANOMALIES 0
EPOCH 91: LOSS 0.1952, ACCURACY 0.9295, ANOMALIES 0
EPOCH 92: LOSS 0.1941, ACCURACY 0.9301, ANOMALIES 0
EPOCH 93: LOSS 0.1931, ACCURACY 0.9307, ANOMALIES 0
EPOCH 94: LOSS 0.1920, ACCURACY 0.9312, ANOMALIES 0
EPOCH 95: LOSS 0.1910, ACCURACY 0.9318, ANOMALIES 0
EPOCH 96: LOSS 0.1900, ACCURACY 0.9323, ANOMALIES 0
EPOCH 97: LOSS 0.1891, ACCURACY 0.9329, ANOMALIES 0
EPOCH 98: LOSS 0.1881, ACCURACY 0.9334, ANOMALIES 0
EPOCH 99: LOSS 0.1872, ACCURACY 0.9339, ANOMALIES 0
EPOCH 100: LOSS 0.1863, ACCURACY 0.9344, ANOMALIES 0
